step,loss,steps_per_s
100,0.43973,3.03
200,0.08045,4.08
300,0.06600,3.72
400,0.05872,3.88
500,0.05587,3.51
600,0.05546,4.07
700,0.05201,3.91
800,0.05230,4.23
900,0.05204,3.76
1000,0.05305,4.08
1100,0.04804,3.90
1200,0.04869,3.90
1300,0.04797,3.68
1400,0.04682,4.12
1500,0.04598,4.03
1600,0.04501,4.13
1700,0.04383,3.74
1800,0.04279,4.14
1900,0.04208,3.73
2000,0.04114,3.65
2100,0.03987,3.50
2200,0.04211,3.63
2300,0.03940,3.67
2400,0.03864,3.88
2500,0.03986,3.55
2600,0.03950,3.75
2700,0.03765,3.66
2800,0.03796,3.64
2900,0.03810,3.40
3000,0.03744,3.97
3100,0.03848,3.85
3200,0.03736,4.03
3300,0.03770,3.61
3400,0.03467,4.02
3500,0.03459,3.70
3600,0.03713,4.08
3700,0.03305,3.64
3800,0.03427,4.06
3900,0.03285,3.93
4000,0.03199,4.09
4100,0.03357,3.70
4200,0.03267,4.12
4300,0.03097,3.97
4400,0.03163,4.14
4500,0.03261,3.79
4600,0.03038,4.15
4700,0.03063,3.97
4800,0.03129,4.18
4900,0.03151,3.81
5000,0.02925,4.10
5100,0.03153,3.97
5200,0.02912,4.15
5300,0.02968,3.75
5400,0.03045,4.13
5500,0.02919,3.98
5600,0.02814,4.09
5700,0.02847,3.78
5800,0.02980,4.10
5900,0.02746,3.99
6000,0.02877,4.15
6100,0.02838,3.78
6200,0.02783,4.02
6300,0.02798,3.99
6400,0.02850,4.15
6500,0.02800,3.82
6600,0.02826,4.09
6700,0.02956,3.74
6800,0.02707,3.94
6900,0.02741,3.61
7000,0.02525,3.80
7100,0.02735,3.81
7200,0.02510,4.07
7300,0.02537,3.51
7400,0.02527,3.66
7500,0.02600,3.63
7600,0.02740,3.86
7700,0.02596,3.60
7800,0.02496,3.85
7900,0.02491,3.67
8000,0.02595,3.85
8100,0.02457,3.14
8200,0.02485,2.81
8300,0.02518,3.43
8400,0.02606,3.83
8500,0.02424,3.25
8600,0.02489,3.56
8700,0.02627,3.67
8800,0.02565,3.84
8900,0.02376,3.51
9000,0.02389,3.76
9100,0.02327,3.65
9200,0.02389,3.87
9300,0.02633,3.41
9400,0.02386,3.87
9500,0.02399,3.57
9600,0.02274,3.63
9700,0.02413,3.49
9800,0.02370,3.86
9900,0.02390,3.71
10000,0.02340,3.66
10100,0.02264,3.40
10200,0.02241,3.54
10300,0.02303,3.52
10400,0.02337,3.87
10500,0.02401,3.55
10600,0.02308,3.85
10700,0.02335,3.77
10800,0.02230,3.88
10900,0.02269,3.55
11000,0.02265,3.79
11100,0.02375,3.74
11200,0.02370,3.69
11300,0.02363,3.31
11400,0.02072,3.61
11500,0.02280,3.44
11600,0.02360,3.34
11700,0.02252,3.25
11800,0.02303,3.53
11900,0.02216,3.65
12000,0.02249,3.84
12100,0.02223,3.44
12200,0.02348,3.73
12300,0.02135,3.65
12400,0.02203,3.49
12500,0.02144,2.80
12600,0.02271,3.35
12700,0.02185,3.40
12800,0.02090,3.53
12900,0.02135,3.30
13000,0.02206,3.64
13100,0.02099,3.39
13200,0.02088,3.58
13300,0.02077,3.26
13400,0.02011,3.65
13500,0.02136,3.55
13600,0.01965,3.73
13700,0.01997,3.45
13800,0.02014,3.60
13900,0.02139,3.51
14000,0.02017,3.64
14100,0.01991,3.31
14200,0.02026,3.56
14300,0.02164,3.52
14400,0.02132,3.60
14500,0.01895,3.38
14600,0.01940,3.56
14700,0.02004,3.54
14800,0.02029,3.75
14900,0.02001,3.34
15000,0.01975,4.00
15100,0.02088,3.76
15200,0.02018,3.65
15300,0.02061,3.17
15400,0.01975,3.28
15500,0.01881,3.25
15600,0.02003,3.51
15700,0.02011,3.30
15800,0.01925,3.45
15900,0.02001,3.24
16000,0.01998,3.61
16100,0.02055,3.27
16200,0.01985,3.59
16300,0.02011,3.46
16400,0.01956,3.70
16500,0.01871,3.35
16600,0.02033,3.42
16700,0.01977,3.50
16800,0.01900,3.49
16900,0.01919,3.10
17000,0.01910,3.61
17100,0.01903,3.43
17200,0.01933,3.73
17300,0.01949,3.44
17400,0.01853,3.53
17500,0.01741,3.28
17600,0.01948,3.59
17700,0.01795,3.31
17800,0.01852,3.55
17900,0.01828,3.47
18000,0.01877,3.56
18100,0.01833,3.32
18200,0.01873,3.63
18300,0.01915,3.37
18400,0.01745,3.65
18500,0.01760,3.38
18600,0.02002,3.76
18700,0.01837,3.66
18800,0.01803,3.88
18900,0.01894,3.46
19000,0.01868,3.73
19100,0.01865,3.63
19200,0.01804,3.79
19300,0.01714,3.40
19400,0.01761,3.64
19500,0.01820,3.36
19600,0.01860,3.30
19700,0.01848,2.82
19800,0.01748,3.41
19900,0.01852,3.67
20000,0.01869,3.97
20100,0.01800,3.84
20200,0.01761,3.87
20300,0.01668,3.63
20400,0.01915,3.74
20500,0.01799,3.15
20600,0.01815,3.32
20700,0.01718,3.35
20800,0.01698,3.21
20900,0.01917,3.01
21000,0.01790,3.13
21100,0.01697,3.22
21200,0.01774,3.13
21300,0.01751,2.82
21400,0.01710,2.87
21500,0.01842,2.83
21600,0.01782,3.01
21700,0.01794,2.47
21800,0.01786,2.95
21900,0.01855,2.77
22000,0.01849,2.91
22100,0.01699,2.62
22200,0.01773,2.81
22300,0.01739,2.72
22400,0.01725,2.70
22500,0.01701,2.52
22600,0.01667,3.00
22700,0.01649,2.86
22800,0.01688,2.95
22900,0.01807,3.01
23000,0.01817,3.34
23100,0.01674,3.29
23200,0.01762,3.34
23300,0.01730,3.20
23400,0.01826,3.51
23500,0.01730,3.35
23600,0.01607,3.49
23700,0.01702,3.13
23800,0.01606,3.31
23900,0.01766,3.09
24000,0.01611,3.36
24100,0.01642,3.14
24200,0.01642,3.41
24300,0.01828,3.29
24400,0.01665,3.36
24500,0.01676,3.13
24600,0.01583,3.48
24700,0.01716,3.42
24800,0.01731,3.84
24900,0.01689,3.18
25000,0.01602,3.71
