step,loss,steps_per_s,lr
100,0.58646,3.04,2.00e-05
200,0.10763,3.76,4.00e-05
300,0.07665,4.15,6.00e-05
400,0.06817,4.15,8.00e-05
500,0.06394,3.31,1.00e-04
600,0.06349,3.68,1.00e-04
700,0.05500,3.55,1.00e-04
800,0.05368,3.79,1.00e-04
900,0.05444,3.44,1.00e-04
1000,0.05527,3.73,1.00e-04
1100,0.04952,3.51,1.00e-04
1200,0.05072,3.63,1.00e-04
1300,0.04991,3.33,1.00e-04
1400,0.04818,3.69,1.00e-04
1500,0.04643,3.72,1.00e-04
1600,0.04676,3.69,1.00e-04
1700,0.04494,3.42,1.00e-04
1800,0.04410,3.87,1.00e-04
1900,0.04293,3.74,1.00e-04
2000,0.04230,3.87,1.00e-04
2100,0.04199,3.19,1.00e-04
2200,0.04352,3.65,1.00e-04
2300,0.04143,3.30,1.00e-04
2400,0.04087,3.79,1.00e-04
2500,0.04136,3.52,1.00e-04
2600,0.04015,3.91,1.00e-04
2700,0.03963,3.58,1.00e-04
2800,0.03931,3.87,1.00e-04
2900,0.03947,3.50,1.00e-04
3000,0.03874,3.56,1.00e-04
3100,0.03826,3.65,1.00e-04
3200,0.03697,4.06,1.00e-04
3300,0.03934,3.65,1.00e-04
3400,0.03640,3.91,9.99e-05
3500,0.03567,3.35,9.99e-05
3600,0.03871,3.73,9.99e-05
3700,0.03438,3.26,9.99e-05
3800,0.03613,3.58,9.99e-05
3900,0.03386,3.75,9.99e-05
4000,0.03265,4.11,9.99e-05
4100,0.03447,3.71,9.99e-05
4200,0.03474,3.92,9.99e-05
4300,0.03313,3.87,9.99e-05
4400,0.03307,3.86,9.99e-05
4500,0.03400,3.37,9.99e-05
4600,0.03323,3.68,9.99e-05
4700,0.03152,3.54,9.99e-05
4800,0.03286,3.88,9.99e-05
4900,0.03328,3.64,9.99e-05
5000,0.03143,3.89,9.99e-05
5100,0.03239,3.59,9.99e-05
5200,0.03107,3.72,9.99e-05
5300,0.03079,3.16,9.99e-05
5400,0.03130,3.69,9.99e-05
5500,0.03082,3.76,9.98e-05
5600,0.02881,4.11,9.98e-05
5700,0.03038,3.67,9.98e-05
5800,0.03114,3.92,9.98e-05
5900,0.02808,3.77,9.98e-05
6000,0.02981,4.15,9.98e-05
6100,0.02966,3.73,9.98e-05
6200,0.02879,4.04,9.98e-05
6300,0.02876,3.59,9.98e-05
6400,0.02976,3.98,9.98e-05
6500,0.02876,3.58,9.98e-05
6600,0.02947,3.92,9.98e-05
6700,0.03079,3.70,9.98e-05
6800,0.02846,3.64,9.98e-05
6900,0.02869,3.19,9.97e-05
7000,0.02635,3.59,9.97e-05
7100,0.02857,3.46,9.97e-05
7200,0.02644,4.02,9.97e-05
7300,0.02605,3.71,9.97e-05
7400,0.02623,3.97,9.97e-05
7500,0.02707,3.73,9.97e-05
7600,0.02901,3.94,9.97e-05
7700,0.02738,3.60,9.97e-05
7800,0.02605,4.12,9.97e-05
7900,0.02564,3.92,9.97e-05
8000,0.02744,4.13,9.97e-05
8100,0.02537,3.72,9.96e-05
8200,0.02604,3.92,9.96e-05
8300,0.02662,3.75,9.96e-05
8400,0.02734,4.02,9.96e-05
8500,0.02520,3.70,9.96e-05
8600,0.02559,4.03,9.96e-05
8700,0.02654,4.02,9.96e-05
8800,0.02706,4.30,9.96e-05
8900,0.02419,3.85,9.96e-05
9000,0.02549,4.23,9.96e-05
9100,0.02488,4.04,9.95e-05
9200,0.02468,4.29,9.95e-05
9300,0.02796,3.87,9.95e-05
9400,0.02439,4.22,9.95e-05
9500,0.02461,4.03,9.95e-05
9600,0.02429,4.28,9.95e-05
9700,0.02501,3.87,9.95e-05
9800,0.02488,4.22,9.95e-05
9900,0.02514,4.05,9.95e-05
10000,0.02420,4.29,9.94e-05
10100,0.02376,3.90,9.94e-05
10200,0.02307,4.21,9.94e-05
10300,0.02411,4.07,9.94e-05
10400,0.02384,4.30,9.94e-05
10500,0.02447,3.88,9.94e-05
10600,0.02421,4.19,9.94e-05
10700,0.02436,4.04,9.94e-05
10800,0.02287,4.30,9.93e-05
10900,0.02414,3.61,9.93e-05
11000,0.02338,4.05,9.93e-05
11100,0.02489,4.15,9.93e-05
11200,0.02460,4.02,9.93e-05
11300,0.02422,3.55,9.93e-05
11400,0.02157,3.90,9.93e-05
11500,0.02368,3.67,9.93e-05
11600,0.02437,4.33,9.92e-05
11700,0.02280,4.05,9.92e-05
11800,0.02335,3.86,9.92e-05
11900,0.02300,3.53,9.92e-05
12000,0.02324,3.96,9.92e-05
12100,0.02255,3.40,9.92e-05
12200,0.02344,3.41,9.92e-05
12300,0.02232,3.60,9.91e-05
12400,0.02260,4.00,9.91e-05
12500,0.02192,3.44,9.91e-05
12600,0.02273,3.73,9.91e-05
12700,0.02169,3.47,9.91e-05
12800,0.02118,3.76,9.91e-05
12900,0.02180,3.49,9.90e-05
13000,0.02264,3.73,9.90e-05
13100,0.02195,3.57,9.90e-05
13200,0.02173,3.76,9.90e-05
13300,0.02123,3.43,9.90e-05
13400,0.02023,3.85,9.90e-05
13500,0.02215,3.59,9.90e-05
13600,0.01960,3.80,9.89e-05
13700,0.02039,3.47,9.89e-05
13800,0.02060,3.74,9.89e-05
13900,0.02183,3.83,9.89e-05
14000,0.02086,4.11,9.89e-05
14100,0.02085,3.73,9.89e-05
14200,0.02036,4.01,9.88e-05
14300,0.02195,3.84,9.88e-05
14400,0.02212,3.85,9.88e-05
14500,0.01937,3.27,9.88e-05
14600,0.01995,3.49,9.88e-05
14700,0.02045,3.42,9.88e-05
14800,0.02107,3.47,9.87e-05
14900,0.02063,3.35,9.87e-05
15000,0.01992,3.60,9.87e-05
15100,0.02139,3.61,9.87e-05
15200,0.02031,3.78,9.87e-05
15300,0.02097,3.50,9.86e-05
15400,0.01976,3.79,9.86e-05
15500,0.01886,3.68,9.86e-05
15600,0.02070,3.79,9.86e-05
15700,0.01988,3.45,9.86e-05
15800,0.01986,3.68,9.86e-05
15900,0.02008,3.57,9.85e-05
16000,0.02067,3.77,9.85e-05
16100,0.02087,3.61,9.85e-05
16200,0.02034,3.85,9.85e-05
16300,0.02052,3.61,9.85e-05
16400,0.01973,3.72,9.84e-05
16500,0.01893,3.23,9.84e-05
16600,0.02035,3.63,9.84e-05
16700,0.01987,3.35,9.84e-05
16800,0.02000,3.70,9.84e-05
16900,0.01965,3.34,9.83e-05
17000,0.01932,3.68,9.83e-05
17100,0.01861,3.34,9.83e-05
17200,0.01926,3.57,9.83e-05
17300,0.01980,3.37,9.83e-05
17400,0.01865,3.65,9.82e-05
17500,0.01766,3.40,9.82e-05
17600,0.01908,3.68,9.82e-05
17700,0.01865,3.33,9.82e-05
17800,0.01866,3.76,9.82e-05
17900,0.01842,3.64,9.81e-05
18000,0.01931,3.88,9.81e-05
18100,0.01888,3.52,9.81e-05
18200,0.01917,3.79,9.81e-05
18300,0.01861,3.57,9.80e-05
18400,0.01768,3.94,9.80e-05
18500,0.01777,3.57,9.80e-05
18600,0.01969,3.79,9.80e-05
18700,0.01851,3.56,9.80e-05
18800,0.01821,3.91,9.79e-05
18900,0.01939,3.33,9.79e-05
19000,0.01900,3.45,9.79e-05
19100,0.01832,3.52,9.79e-05
19200,0.01839,3.96,9.78e-05
19300,0.01752,3.57,9.78e-05
19400,0.01759,3.75,9.78e-05
19500,0.01781,3.64,9.78e-05
19600,0.01944,3.72,9.78e-05
19700,0.01896,3.45,9.77e-05
19800,0.01752,3.84,9.77e-05
19900,0.01841,3.56,9.77e-05
20000,0.01864,3.88,9.77e-05
20100,0.01771,3.46,9.76e-05
20200,0.01782,3.85,9.76e-05
20300,0.01686,3.57,9.76e-05
20400,0.01889,3.90,9.76e-05
20500,0.01775,3.55,9.75e-05
20600,0.01854,3.90,9.75e-05
20700,0.01728,3.58,9.75e-05
20800,0.01685,3.92,9.75e-05
20900,0.01911,3.59,9.74e-05
21000,0.01814,3.93,9.74e-05
21100,0.01690,3.68,9.74e-05
21200,0.01781,3.98,9.74e-05
21300,0.01726,3.31,9.73e-05
21400,0.01708,3.84,9.73e-05
21500,0.01838,3.59,9.73e-05
21600,0.01802,3.91,9.73e-05
21700,0.01785,3.56,9.72e-05
21800,0.01823,3.85,9.72e-05
21900,0.01826,3.62,9.72e-05
22000,0.01859,3.82,9.72e-05
22100,0.01616,3.36,9.71e-05
22200,0.01777,2.99,9.71e-05
22300,0.01701,3.18,9.71e-05
22400,0.01724,3.79,9.71e-05
22500,0.01718,3.45,9.70e-05
22600,0.01654,3.87,9.70e-05
22700,0.01670,3.65,9.70e-05
22800,0.01719,3.76,9.69e-05
22900,0.01798,3.55,9.69e-05
23000,0.01841,3.83,9.69e-05
23100,0.01691,3.66,9.69e-05
23200,0.01723,3.86,9.68e-05
23300,0.01709,3.38,9.68e-05
23400,0.01793,3.63,9.68e-05
23500,0.01746,3.55,9.68e-05
23600,0.01629,3.81,9.67e-05
23700,0.01665,3.51,9.67e-05
23800,0.01593,3.87,9.67e-05
23900,0.01773,3.64,9.66e-05
24000,0.01589,3.78,9.66e-05
24100,0.01661,3.49,9.66e-05
24200,0.01632,3.65,9.66e-05
24300,0.01866,3.63,9.65e-05
24400,0.01624,3.82,9.65e-05
24500,0.01677,3.49,9.65e-05
24600,0.01599,3.71,9.64e-05
24700,0.01696,3.54,9.64e-05
24800,0.01701,3.71,9.64e-05
24900,0.01691,3.29,9.64e-05
25000,0.01569,3.66,9.63e-05
25100,0.01710,3.45,9.63e-05
25200,0.01523,3.54,9.63e-05
25300,0.01680,3.19,9.62e-05
25400,0.01560,3.51,9.62e-05
25500,0.01642,3.42,9.62e-05
25600,0.01658,3.63,9.61e-05
25700,0.01630,3.29,9.61e-05
25800,0.01559,3.37,9.61e-05
25900,0.01710,3.31,9.61e-05
26000,0.01611,3.55,9.60e-05
26100,0.01754,3.20,9.60e-05
26200,0.01656,3.40,9.60e-05
26300,0.01706,3.47,9.59e-05
26400,0.01541,3.63,9.59e-05
26500,0.01596,3.63,9.59e-05
26600,0.01509,4.01,9.58e-05
26700,0.01686,3.81,9.58e-05
26800,0.01590,3.71,9.58e-05
26900,0.01655,3.34,9.57e-05
