step,loss,steps_per_s,lr
100,0.59617,2.43,2.00e-05
200,0.11043,3.36,4.00e-05
300,0.08273,3.28,6.00e-05
400,0.07223,3.30,8.00e-05
500,0.06702,3.04,1.00e-04
600,0.06379,3.22,1.00e-04
700,0.05986,3.14,1.00e-04
800,0.05672,3.52,1.00e-04
900,0.05758,3.14,1.00e-04
1000,0.05612,3.34,1.00e-04
1100,0.05311,3.22,1.00e-04
1200,0.05370,3.43,1.00e-04
1300,0.05358,3.20,1.00e-04
1400,0.05182,3.40,1.00e-04
1500,0.04995,3.29,1.00e-04
1600,0.04900,3.41,1.00e-04
1700,0.05013,3.12,1.00e-04
1800,0.04696,3.36,1.00e-04
1900,0.04707,3.23,1.00e-04
2000,0.04693,3.18,1.00e-04
2100,0.04494,2.54,1.00e-04
2200,0.04709,3.15,1.00e-04
2300,0.04529,3.31,1.00e-04
2400,0.04632,3.04,1.00e-04
2500,0.04493,3.07,1.00e-04
2600,0.04534,3.05,1.00e-04
2700,0.04426,3.10,1.00e-04
2800,0.04334,3.39,1.00e-04
2900,0.04385,3.10,1.00e-04
3000,0.04253,3.26,1.00e-04
3100,0.04324,3.15,1.00e-04
3200,0.04222,3.55,1.00e-04
3300,0.04388,3.10,1.00e-04
3400,0.04291,3.45,9.99e-05
3500,0.04022,3.23,9.99e-05
3600,0.04292,3.22,9.99e-05
3700,0.04038,3.11,9.99e-05
3800,0.04095,3.52,9.99e-05
3900,0.04142,3.42,9.99e-05
4000,0.03939,3.63,9.99e-05
4100,0.03910,3.29,9.99e-05
4200,0.03980,3.56,9.99e-05
4300,0.03896,3.42,9.99e-05
4400,0.03899,3.64,9.99e-05
4500,0.04112,3.25,9.99e-05
4600,0.03781,3.58,9.99e-05
4700,0.03828,3.43,9.99e-05
4800,0.03820,3.66,9.99e-05
4900,0.04031,3.30,9.99e-05
5000,0.03755,3.60,9.99e-05
5100,0.03908,3.43,9.99e-05
5200,0.03596,3.62,9.99e-05
5300,0.03793,3.27,9.99e-05
5400,0.03807,3.57,9.99e-05
5500,0.03680,3.38,9.98e-05
5600,0.03522,3.40,9.98e-05
5700,0.03672,2.47,9.98e-05
5800,0.03900,2.81,9.98e-05
5900,0.03647,2.78,9.98e-05
6000,0.03652,3.43,9.98e-05
6100,0.03563,3.26,9.98e-05
6200,0.03647,3.94,9.98e-05
6300,0.03631,3.87,9.98e-05
6400,0.03628,4.20,9.98e-05
6500,0.03747,3.85,9.98e-05
6600,0.03647,4.18,9.98e-05
6700,0.03743,4.00,9.98e-05
6800,0.03469,4.27,9.98e-05
6900,0.03595,3.83,9.97e-05
7000,0.03487,4.20,9.97e-05
7100,0.03589,4.00,9.97e-05
7200,0.03423,4.21,9.97e-05
7300,0.03425,3.86,9.97e-05
7400,0.03400,4.19,9.97e-05
7500,0.03420,4.05,9.97e-05
7600,0.03554,4.26,9.97e-05
7700,0.03243,3.84,9.97e-05
7800,0.03459,4.14,9.97e-05
7900,0.03241,3.94,9.97e-05
8000,0.03413,4.12,9.97e-05
8100,0.03259,3.82,9.96e-05
8200,0.03315,4.18,9.96e-05
8300,0.03397,4.02,9.96e-05
8400,0.03496,4.27,9.96e-05
8500,0.03199,3.83,9.96e-05
8600,0.03344,4.17,9.96e-05
8700,0.03420,4.03,9.96e-05
8800,0.03342,4.24,9.96e-05
8900,0.03267,3.85,9.96e-05
9000,0.03285,4.20,9.96e-05
9100,0.03260,4.03,9.95e-05
9200,0.03151,4.29,9.95e-05
9300,0.03317,3.87,9.95e-05
9400,0.03187,4.19,9.95e-05
9500,0.03243,4.00,9.95e-05
9600,0.03191,4.29,9.95e-05
9700,0.03188,3.86,9.95e-05
9800,0.03178,4.17,9.95e-05
9900,0.03310,4.03,9.95e-05
10000,0.03326,4.26,9.94e-05
10100,0.03013,3.85,9.94e-05
10200,0.03037,3.82,9.94e-05
10300,0.03126,3.32,9.94e-05
10400,0.03059,3.72,9.94e-05
10500,0.03340,3.30,9.94e-05
10600,0.03168,3.50,9.94e-05
10700,0.03228,3.24,9.94e-05
10800,0.03060,3.83,9.93e-05
10900,0.03047,3.40,9.93e-05
11000,0.02957,3.73,9.93e-05
11100,0.03164,3.58,9.93e-05
11200,0.03122,3.69,9.93e-05
11300,0.03174,3.32,9.93e-05
11400,0.02861,3.67,9.93e-05
11500,0.03148,3.51,9.93e-05
11600,0.03090,3.74,9.92e-05
11700,0.02973,3.41,9.92e-05
11800,0.03123,3.67,9.92e-05
11900,0.02966,3.73,9.92e-05
12000,0.03026,3.69,9.92e-05
12100,0.02933,3.39,9.92e-05
12200,0.03165,2.88,9.92e-05
12300,0.02888,3.08,9.91e-05
12400,0.03077,3.64,9.91e-05
12500,0.02848,3.48,9.91e-05
12600,0.03047,3.46,9.91e-05
12700,0.02868,3.10,9.91e-05
12800,0.02810,3.47,9.91e-05
12900,0.02944,3.34,9.90e-05
13000,0.02903,3.67,9.90e-05
13100,0.02953,3.52,9.90e-05
13200,0.03011,3.76,9.90e-05
13300,0.02857,3.28,9.90e-05
13400,0.02810,3.63,9.90e-05
13500,0.02891,3.33,9.90e-05
13600,0.02816,3.79,9.89e-05
13700,0.02689,3.26,9.89e-05
13800,0.02769,3.51,9.89e-05
13900,0.02907,3.58,9.89e-05
14000,0.02881,3.78,9.89e-05
14100,0.02731,3.29,9.89e-05
14200,0.02889,3.61,9.88e-05
14300,0.02858,3.53,9.88e-05
14400,0.02864,3.74,9.88e-05
14500,0.02888,3.39,9.88e-05
14600,0.02762,3.63,9.88e-05
14700,0.02719,3.62,9.88e-05
14800,0.02721,3.82,9.87e-05
14900,0.02683,3.49,9.87e-05
15000,0.02743,3.89,9.87e-05
15100,0.02949,3.48,9.87e-05
15200,0.02813,3.49,9.87e-05
15300,0.02792,3.35,9.86e-05
15400,0.02846,3.63,9.86e-05
15500,0.02560,3.49,9.86e-05
15600,0.02723,3.76,9.86e-05
15700,0.02770,3.32,9.86e-05
15800,0.02721,3.56,9.86e-05
15900,0.02716,3.49,9.85e-05
16000,0.02679,3.61,9.85e-05
16100,0.02743,3.46,9.85e-05
16200,0.02676,3.66,9.85e-05
16300,0.02660,3.68,9.85e-05
16400,0.02716,3.84,9.84e-05
16500,0.02670,3.31,9.84e-05
16600,0.02661,3.38,9.84e-05
16700,0.02612,3.27,9.84e-05
16800,0.02598,3.52,9.84e-05
16900,0.02699,3.35,9.83e-05
17000,0.02723,3.73,9.83e-05
17100,0.02553,3.54,9.83e-05
17200,0.02671,3.73,9.83e-05
17300,0.02651,3.28,9.83e-05
17400,0.02548,3.58,9.82e-05
17500,0.02549,3.48,9.82e-05
17600,0.02612,3.67,9.82e-05
17700,0.02521,3.40,9.82e-05
17800,0.02629,3.74,9.82e-05
17900,0.02567,3.49,9.81e-05
18000,0.02528,3.68,9.81e-05
18100,0.02447,3.34,9.81e-05
18200,0.02557,3.63,9.81e-05
18300,0.02545,3.45,9.80e-05
18400,0.02525,3.52,9.80e-05
18500,0.02436,3.13,9.80e-05
18600,0.02662,3.41,9.80e-05
18700,0.02517,3.30,9.80e-05
18800,0.02436,3.55,9.79e-05
18900,0.02724,3.21,9.79e-05
19000,0.02512,3.68,9.79e-05
19100,0.02462,3.18,9.79e-05
19200,0.02549,3.57,9.78e-05
19300,0.02531,3.11,9.78e-05
19400,0.02489,3.42,9.78e-05
19500,0.02543,3.19,9.78e-05
19600,0.02536,3.01,9.78e-05
19700,0.02626,3.25,9.77e-05
19800,0.02424,3.58,9.77e-05
19900,0.02504,3.46,9.77e-05
20000,0.02517,3.66,9.77e-05
20100,0.02491,3.34,9.76e-05
20200,0.02531,3.55,9.76e-05
20300,0.02412,3.48,9.76e-05
20400,0.02570,3.72,9.76e-05
20500,0.02408,3.32,9.75e-05
20600,0.02477,3.50,9.75e-05
20700,0.02473,3.45,9.75e-05
20800,0.02428,3.59,9.75e-05
20900,0.02615,3.21,9.74e-05
21000,0.02498,3.50,9.74e-05
21100,0.02428,3.35,9.74e-05
21200,0.02459,3.67,9.74e-05
21300,0.02470,3.25,9.73e-05
21400,0.02432,3.45,9.73e-05
21500,0.02403,3.33,9.73e-05
21600,0.02549,3.24,9.73e-05
21700,0.02434,3.11,9.72e-05
21800,0.02436,3.45,9.72e-05
21900,0.02590,3.25,9.72e-05
22000,0.02538,3.51,9.72e-05
22100,0.02423,3.11,9.71e-05
22200,0.02398,3.25,9.71e-05
22300,0.02402,3.22,9.71e-05
22400,0.02420,3.61,9.71e-05
22500,0.02320,3.24,9.70e-05
22600,0.02332,3.49,9.70e-05
22700,0.02428,3.30,9.70e-05
22800,0.02425,3.72,9.69e-05
22900,0.02563,3.19,9.69e-05
23000,0.02459,3.73,9.69e-05
23100,0.02359,3.54,9.69e-05
23200,0.02504,3.82,9.68e-05
23300,0.02376,3.18,9.68e-05
23400,0.02497,3.47,9.68e-05
23500,0.02394,3.24,9.68e-05
23600,0.02358,3.53,9.67e-05
23700,0.02337,3.19,9.67e-05
23800,0.02259,3.37,9.67e-05
23900,0.02411,3.28,9.66e-05
24000,0.02240,3.51,9.66e-05
24100,0.02353,3.23,9.66e-05
24200,0.02425,3.57,9.66e-05
24300,0.02528,3.29,9.65e-05
24400,0.02264,3.58,9.65e-05
24500,0.02313,3.21,9.65e-05
24600,0.02196,3.54,9.64e-05
24700,0.02320,3.35,9.64e-05
24800,0.02447,3.69,9.64e-05
24900,0.02275,3.22,9.64e-05
25000,0.02309,3.55,9.63e-05
25100,0.02448,3.37,9.63e-05
25200,0.02188,3.61,9.63e-05
25300,0.02333,3.13,9.62e-05
25400,0.02259,3.61,9.62e-05
25500,0.02316,3.34,9.62e-05
25600,0.02310,3.51,9.61e-05
25700,0.02188,3.07,9.61e-05
25800,0.02195,3.43,9.61e-05
25900,0.02374,3.44,9.61e-05
26000,0.02221,3.56,9.60e-05
26100,0.02285,3.22,9.60e-05
26200,0.02245,3.39,9.60e-05
26300,0.02411,3.39,9.59e-05
26400,0.02242,3.47,9.59e-05
26500,0.02298,3.29,9.59e-05
26600,0.02189,3.47,9.58e-05
26700,0.02327,3.28,9.58e-05
26800,0.02365,3.43,9.58e-05
26900,0.02285,3.14,9.57e-05
27000,0.02165,3.12,9.57e-05
27100,0.02218,3.16,9.57e-05
27200,0.02268,3.51,9.56e-05
27300,0.02172,3.22,9.56e-05
27400,0.02216,3.48,9.56e-05
27500,0.02340,3.33,9.55e-05
27600,0.02159,3.57,9.55e-05
27700,0.02132,3.27,9.55e-05
27800,0.02309,3.38,9.55e-05
27900,0.02259,3.44,9.54e-05
28000,0.02231,3.60,9.54e-05
28100,0.02245,3.19,9.54e-05
